id,index,middle,ring,little,thumb
823,555,539,545,552,416
824,563,543,554,540,436
825,562,545,552,533,433
826,561,544,560,539,438
827,565,547,548,531,435
828,575,528,549,515,438
829,558,537,568,556,448
830,561,541,547,523,430
831,564,546,551,525,438
832,564,547,553,535,438
833,566,550,553,516,429
834,559,543,559,544,440
835,565,543,555,553,430
836,567,562,544,526,421
837,560,547,554,531,437
838,563,542,552,529,436
839,562,544,553,530,434
840,567,556,557,549,429
841,560,545,557,532,423
842,568,535,551,534,432
843,563,547,552,551,436
844,561,552,555,530,435
845,563,547,551,534,435
846,563,549,553,532,437
847,548,554,555,532,442
848,558,541,561,550,444
849,569,549,546,533,443
850,569,536,551,552,438
851,560,545,556,541,437
852,562,544,551,536,436
853,567,543,552,527,445
854,573,546,548,528,427
855,573,559,546,505,432
856,569,539,545,540,440
857,564,551,555,523,447
858,566,546,553,533,439
859,564,544,551,530,439
860,560,545,559,528,437
861,563,555,557,536,436
862,576,546,537,529,435
863,568,553,554,522,440
864,560,548,551,519,439
865,558,543,552,530,436
866,562,545,551,524,437
867,557,539,550,541,434
868,557,529,551,534,451
869,562,559,546,518,431
870,562,552,552,548,436
871,552,540,546,521,438
872,564,545,553,536,439
873,561,545,551,533,438
874,557,546,559,529,438
875,560,548,557,549,436
876,553,551,559,535,426
877,574,559,547,515,425
878,562,541,551,527,435
879,559,541,553,529,435
880,560,543,552,527,436
881,561,540,548,522,448
882,545,542,560,515,440
883,574,537,553,528,454
884,568,545,553,536,438
885,562,544,550,534,442
886,562,540,554,533,440
887,563,545,552,532,438
888,568,535,547,545,434
889,568,562,548,539,430
890,572,551,543,542,444
891,546,555,560,537,430
892,558,539,550,527,434
893,564,543,553,527,436
894,565,540,551,530,437
895,555,556,547,524,428
896,559,549,553,533,437
897,557,533,545,551,449
898,558,544,559,524,431
899,566,543,558,536,442
900,563,545,553,534,438
901,562,546,553,530,434
902,560,546,561,529,430
903,558,551,558,516,430
904,554,544,548,544,433
905,556,543,550,550,441
906,564,542,550,532,435
907,560,543,554,536,436
908,552,539,552,537,433
909,552,555,552,510,419
910,557,540,549,545,426
911,553,545,561,510,422
912,559,530,558,532,431
913,563,546,552,532,437
914,564,542,553,533,436
915,559,541,553,536,447
916,561,533,543,541,438
917,558,546,559,538,424
918,551,548,556,515,431
919,558,537,555,542,437
920,565,544,552,528,434
921,563,542,550,531,435
922,570,550,546,517,436
923,578,536,546,558,444
924,554,526,559,526,434
925,566,533,542,530,430
926,561,542,555,529,432
927,564,544,551,536,441
928,564,544,554,534,438
929,564,550,546,528,436
930,557,537,557,546,443
931,577,537,542,543,435
932,555,548,558,519,434
933,565,543,550,532,439
934,561,542,554,532,436
935,557,544,552,530,437
936,564,549,545,530,431
937,572,555,540,510,427
938,566,540,557,513,447
939,557,551,555,522,438
940,561,547,555,532,440
941,562,541,553,532,440
942,560,545,551,532,447
943,559,541,557,548,444
944,545,532,571,543,439
945,576,533,550,538,434
946,552,547,549,526,437
947,562,547,552,523,438
948,561,543,552,527,438
949,565,545,550,526,438
950,562,535,548,536,437
951,563,547,549,505,429
952,551,530,563,540,447
953,566,536,546,517,438
954,564,542,554,535,440
955,563,544,554,530,438
956,560,547,549,542,437
957,555,549,555,528,423
958,560,545,549,529,443
959,570,526,558,538,453
960,564,544,553,527,440
961,559,543,552,529,438
962,561,542,552,527,436
963,551,537,560,535,438
964,563,548,560,524,429
965,560,548,553,531,423
966,555,563,545,513,427
967,560,543,556,536,433
968,563,544,555,537,441
969,563,543,553,533,438
970,567,548,549,533,422
971,566,547,546,546,444
972,567,551,549,531,441
973,555,542,559,514,442
974,562,545,548,524,441
975,564,544,551,529,438
976,562,542,551,529,439
977,560,553,557,522,431
978,574,529,546,512,447
979,569,553,558,501,440
980,556,539,559,539,441
981,562,547,554,536,437
982,560,545,553,533,441
983,565,543,558,534,434
984,556,555,546,536,440
985,560,538,568,538,441
986,551,543,560,540,449
987,556,547,548,532,433
988,563,544,552,526,438
989,559,543,552,533,437
990,560,548,557,523,442
991,555,543,554,519,433
992,561,550,552,494,436
993,562,553,556,515,432
994,561,546,557,537,441
995,564,540,552,532,439
996,561,546,551,531,442
997,567,549,558,534,440
998,572,559,556,525,425
999,568,547,548,541,437
1000,553,542,561,531,431
1001,560,536,551,547,441
1002,560,541,549,527,438
1003,562,542,551,531,438
1004,565,545,553,520,441
1005,551,552,564,504,439
1006,571,551,548,517,428
1007,577,541,545,529,437
1008,564,545,555,530,438
1009,560,546,551,528,439
1010,563,546,554,531,440
1011,555,555,562,523,440
1012,551,557,555,517,431
1013,566,543,549,522,447
1014,555,535,560,549,448
1015,561,544,551,513,438
1016,561,540,553,532,435
1017,561,544,552,526,445
1018,560,539,557,539,447
1019,554,538,554,535,435
1020,554,553,555,506,427
1021,561,527,552,539,441
1022,560,540,551,535,441
1023,563,545,554,523,439
1024,563,537,559,524,447
1025,552,542,558,527,439
1026,570,538,549,535,455
1027,552,547,553,526,433
1028,567,547,554,535,442
1029,561,543,549,526,439
1030,560,541,550,523,437
1031,564,543,551,515,444
1032,560,544,562,536,437
1033,561,531,557,544,444
1034,556,537,564,530,446
1035,550,545,544,531,444
1036,561,544,557,530,440
1037,562,544,553,533,442
1038,562,545,551,521,446
1039,577,539,551,535,447
1040,556,541,556,520,456
1041,560,544,560,530,448
1042,564,547,559,528,442
1043,562,538,553,530,437
1044,561,545,553,526,439
1045,561,543,554,524,450
1046,558,553,547,499,438
1047,565,550,545,524,436
1048,554,531,562,539,445
1049,562,546,550,523,445
1050,560,545,556,533,442
1051,563,544,554,530,441
1052,547,551,562,525,448
1053,573,549,558,520,432
1054,563,544,561,494,437
1055,576,545,550,556,444
1056,566,540,552,527,444
1057,560,545,552,523,440
1058,560,544,552,525,440
1059,566,533,547,543,457
1060,551,529,560,523,440
1061,574,554,553,507,431
1062,573,537,551,522,438
1063,563,542,553,529,446
1064,562,544,556,530,441
1065,558,545,553,531,442
1066,555,555,556,540,439
1067,562,552,556,526,439
1068,547,546,560,533,441
1069,568,568,559,539,427
1070,560,540,552,526,439
1071,558,543,552,527,438
1072,567,543,556,524,438
1073,562,540,555,523,436
1074,566,533,547,566,448
1075,564,551,557,516,435
1076,568,548,564,517,430
1077,562,543,552,531,444
1078,564,546,554,525,442
1079,558,547,551,526,433
1080,557,550,562,531,436
1081,562,551,552,507,440
1082,561,555,555,540,440
1083,552,544,559,533,428
1084,562,542,553,528,442
1085,558,543,551,526,439
1086,565,547,558,522,444
1087,571,539,552,538,452
1088,555,539,549,521,439
1089,570,545,551,527,445
1090,563,546,555,543,441
1091,559,542,553,533,441
1092,560,546,553,533,440
1093,561,551,553,535,440
1094,553,530,553,545,451
1095,577,551,542,515,434
1096,576,539,555,544,438
1097,563,544,566,519,437
1098,556,546,553,525,440
1099,561,543,552,527,438
1100,562,542,549,529,447
1101,561,552,548,524,448
1102,559,553,555,513,433
1103,562,531,543,541,446
1104,560,544,554,538,440
1105,559,545,555,530,436
1106,563,545,553,533,441
1107,551,539,553,537,448
1108,560,565,553,512,436
1109,575,559,551,524,438
1110,548,554,559,512,435
1111,560,546,550,520,445
1112,558,543,553,528,442
1113,560,544,552,529,439
1114,568,532,546,534,450
1115,557,518,553,541,450
1116,567,541,553,526,446
1117,543,536,566,520,438
1118,565,552,556,528,443
1119,558,548,555,527,440
1120,560,545,554,530,440
1121,564,541,548,536,444
1122,558,547,557,534,438
1123,560,543,553,517,439
1124,566,549,555,534,444
